,From Bus,To Bus,From-To P injection (MW),From-To Q injection (MVAR),To-From P injection (MW),To-From Q injection (MVAR),P flow through branch and elements (MW),Q flow through branch and elements (MVAR)
0,0.0,1.0,-12.600499992844757,-12.843874477295946,12.698615451393813,10.811023035375895,0.09811545854905646,-2.0328514419200516
1,0.0,2.0,-39.41950000187143,-16.55378692581321,39.675771962852394,16.396214935868294,0.2562719609809676,-0.15757198994491617
2,3.0,4.0,-105.27893000151052,-26.536307100915522,105.48713026103336,27.27030481656544,0.20820025952284027,0.7339977156499167
3,2.0,4.0,-69.47289768409021,-14.194053326010458,70.75794557374984,17.197673183724245,1.285047889659623,3.0036198577137867
4,4.0,5.0,90.25044189237802,3.834647333323746,-89.28258433171665,-0.8573571719672657,0.967857560661372,2.97729016135648
5,5.0,6.0,36.24258434246503,-4.845623860637053,-36.1800887093488,4.5901479230414735,0.06249563311622808,-0.2554759375955795
6,7.0,8.0,-449.26441397418523,-86.68171615671582,454.0618304059297,23.643299779807887,4.797416431744466,-63.03841637690793
7,7.0,4.0,345.24322413163185,125.26159514438422,-345.24322413163173,-91.34517669125734,1.1368683772161603e-13,33.91641845312688
8,8.0,9.0,-454.0618299668607,-23.643299827346713,458.9999998894039,-49.37460422275118,4.938169922543182,-73.0179040500979
9,3.0,10.0,65.49893001204151,-0.28628849999348394,-64.59862811645502,1.5316316377191193,0.9003018955864945,1.2453431377256354
10,4.0,10.0,78.74770648658048,2.8822586659564413,-77.49103659217135,-0.3757977671636631,1.2566698944091286,2.506460898792778
11,10.0,11.0,34.940354120891925,-36.21390299561165,-34.78610968322849,36.23251498789774,0.15424443766343643,0.018611992286089674
12,1.0,11.0,-33.09861544845807,-19.991023034767096,33.389229145808606,19.436497900671,0.2906136973505369,-0.5545251340960959
13,2.0,11.0,-9.982874271196016,-12.40216161123007,10.091410693067655,8.870861286322858,0.10853642187163892,-3.531300324907212
14,6.0,11.0,16.80008871237263,-6.630147923077528,-16.77184267461372,5.885546844725484,0.02824603775891177,-0.7446010783520443
15,10.0,12.0,35.749310601896056,11.598069124294277,-35.42028802037791,-12.305646833647515,0.3290225815181458,-0.707577709353238
16,11.0,13.0,18.63838204368261,2.60991665281289,-18.559489872740343,-4.118762715435403,0.07889217094226808,-1.5088460626225126
17,12.0,14.0,0.740288024656535,-4.014353165208595,-0.7389285784168074,-1.8656328843464414,0.001359446239727613,-5.879986049555036
18,13.0,14.0,4.2794898749053125,3.098762715054321,-4.249436965419763,-7.789945077387409,0.030052909485549506,-4.6911823623330875
19,11.0,15.0,7.639932950057279,4.509149154051821,-7.620625973026199,-6.5172968693142135,0.019306977031080308,-2.0081477152623926
20,14.0,16.0,-105.77888454349069,-23.572548236155242,107.4133787086498,24.696710584726656,1.6344941651591114,1.1241623485714136
21,15.0,16.0,-17.879374023230955,-3.682703130243612,18.030312705689607,-0.28029736866478705,0.15093868245865139,-3.963000498908399
22,16.0,17.0,81.8990994224559,24.414792595962982,-80.98790768995873,-21.93077664335247,0.9111917324971728,2.4840159526105126
23,17.0,18.0,19.78790769808266,14.45126043943418,-19.715061263829075,-15.20060981958781,0.07284643425358439,-0.74934938015363
24,18.0,19.0,-10.822536527897563,5.865512519532483,10.86862292725081,-8.399288472174304,0.04608639935324632,-2.533775952641821
25,14.0,18.0,11.628759301624978,12.824954217759485,-11.588952189099007,-13.637889565110637,0.03980711252597047,-0.8129353473511518
26,19.0,20.0,-29.228622925262155,5.3392884722364995,29.407215384593737,-6.490992558134987,0.17859245933158263,-1.151704085898488
27,20.0,21.0,-43.68721538315429,-1.6690074416742529,44.122217429066744,1.4055070890648156,0.43500204591245506,-0.26350035260943727
28,21.0,22.0,-54.322217425833905,-6.505507090147342,55.40531671258181,7.627886203253268,1.0830992867479026,1.122379113105926
29,22.0,23.0,8.198013186502557,10.17868437642981,-8.167243929272411,-15.003582308405816,0.030769257230145897,-4.824897931976006
30,22.0,24.0,-165.65985326856722,-25.304655221039773,170.0154687788343,38.56404356524986,4.355615510267086,13.259388344210087
31,25.0,24.0,92.06885853817829,21.64048345361683,-92.06885853817829,-18.583779542651556,0.0,3.0567039109652754
32,24.0,26.0,146.45338968417835,30.14204374358367,-139.8084441523322,-14.070075558190908,6.644945531846133,16.071968185392763
33,26.0,27.0,33.514118487035034,-0.5394172790603807,-33.284764551041114,-0.44574844926141693,0.2293539359939203,-0.9851657283217976
34,27.0,28.0,15.944764552405891,-6.6942515511132505,-15.871552328430475,4.781779933244403,0.07321222397541582,-1.9124716178688477
35,29.0,16.0,235.7702404322286,92.82290533144665,-235.77024043222855,-69.16648268972037,5.684341886080802e-14,23.65642264172628
36,7.0,29.0,75.46118930637122,28.49164464420635,-75.09655428770276,-75.64573583134944,0.3646350186684657,-47.154091187143095
37,25.0,29.0,228.21114164218218,-10.766373790893137,-224.07146148759497,-35.50823038124902,4.139680154587211,-46.27460417214216
38,16.0,30.0,15.089859627003799,11.423758705312311,-14.8949132377544,-14.621846508950656,0.19494638924939878,-3.1980878036383444
39,28.0,30.0,-8.608447669493371,-8.861779933151901,8.625441967779302,8.140848856324295,0.016994298285931464,-0.7209310768276058
40,22.0,31.0,94.91652331297212,4.43808468748827,-92.0232071485997,-5.213336432209709,2.893316164372422,-0.7752517447214391
41,30.0,31.0,-30.450528725985325,12.370485149087715,30.804485641063916,-13.53846975310446,0.35395691507859084,-1.1679846040167448
42,26.0,31.0,12.740597877821951,1.4065854809442453,-12.699624781808575,-3.0673381953565233,0.040973096013376065,-1.660752714412278
