,From Bus,To Bus,From-To P injection (MW),From-To Q injection (MVAR),To-From P injection (MW),To-From Q injection (MVAR),P flow through branch and elements (MW),Q flow through branch and elements (MVAR)
0,1585.0,962.0,-80.95106193114296,103.62615755175268,81.04953943895194,-102.6151218049137,0.09847750780897968,1.011035746838985
1,1585.0,2700.0,80.95106195183341,-84.86283872348,-80.8857823070928,85.82897746564096,0.06527964474061321,0.9661387421609646
2,127.0,1675.0,282.6542105290787,58.78339326772202,-282.60398995718504,-58.374454325159554,0.05022057189364659,0.40893894256246455
3,127.0,1455.0,-282.6542105290282,-57.34281157293404,282.69717033561204,57.743769767716536,0.04295980658383769,0.40095819478249695
4,1831.0,2297.0,4.269347248727655,2.2191202833002652,-4.2686008035062315,-2.2154292911035567,0.0007464452214236417,0.0036909921967085424
5,1831.0,988.0,-4.269347248731136,0.6685470029324329,4.269960118972804,-0.6656325882983243,0.0006128702416683396,0.0029144146341085753
6,1389.0,2297.0,4.1732786369364385,2.296840296956934,-4.172518624868202,-2.2933755681836545,0.0007600120682367262,0.003464728773279635
7,1389.0,988.0,-4.173278636933672,0.5077234154341304,4.173805934547038,-0.5046659740612469,0.0005272976133658958,0.0030574413728834404
8,1600.0,2417.0,167.27403440967734,-1.7458261298713973,-166.64575675142856,5.520816466298339,0.628277658248777,3.774990336426942
9,1600.0,2396.0,-167.2740344540783,4.731092515223201,167.85186319300507,-0.49288255321968677,0.5778287389267689,4.2382099620035145
10,1773.0,2019.0,44.45751256912086,17.389732695499184,-44.45457314987779,-17.364537673415757,0.0029394192430700627,0.02519502208342672
11,1773.0,2419.0,-44.45751256907787,-16.998991528045586,44.46191657211927,17.031113616579795,0.004404003041400983,0.032122088534208615
12,1604.0,2019.0,18.813330538316272,8.183534109348214,-18.811776061003048,-8.16453537290907,0.0015544773132241119,0.01899873643914418
13,1604.0,2419.0,-18.81333053830848,-7.2280277343069885,18.814149791090625,7.233676463535475,0.0008192527821435647,0.00564872922848636
14,921.0,1867.0,-122.55816267481434,140.7858218796643,122.74288976649332,-139.33997714286951,0.1847270916789796,1.4458447367947826
15,921.0,1070.0,122.55816267728316,-129.457978717648,-122.44799205292725,131.08461558313851,0.1101706243559164,1.626636865490525
16,2335.0,1867.0,334.11564991624465,125.77108805731767,-333.2804574130673,-116.8024054847364,0.8351925031773249,8.968682572581272
17,2335.0,2721.0,-334.1156499142793,-105.39726093919406,334.8457333573063,115.37094322868111,0.7300834430270129,9.973682289487058
18,2334.0,2182.0,283.64268200203793,-25.677659374610883,-280.8736177894815,41.18886131393096,2.7690642125564295,15.511201939320074
19,2334.0,1345.0,-283.64268200917985,29.07381925788288,287.4347557595986,-14.632029188039386,3.7920737504187514,14.441790069843496
20,35.0,917.0,-245.1229758170261,36.30476805235372,245.4677215605079,-32.45331169939254,0.3447457434818091,3.851456352961179
21,35.0,1364.0,245.1229758146842,-11.921965333238905,-244.6527447366253,15.683813957710235,0.47023107805890163,3.7618486244713303
22,1559.0,208.0,-29.44769103806025,-9.282780310895252,29.45176648363089,9.32990265030581,0.004075445570641989,0.04712233941055821
23,1559.0,2427.0,29.44769103780265,22.76791773226286,-29.441891331595787,-22.69807446177172,0.0057997062068615435,0.06984327049113759
24,2125.0,208.0,-31.99866465989721,-10.156591609873423,32.003282239947325,10.209191869574799,0.0046175800501160325,0.05260025970137505
25,2125.0,2427.0,31.99866465964176,24.07906248065276,-31.991237271566074,-24.0056456062123,0.0074273880756869914,0.07341687444045775
26,2004.0,1530.0,-523.0628803646997,3.335559750228656,523.7713783999228,3.9448683358560555,0.7084980352231014,7.2804280860847115
27,2004.0,1869.0,523.0628803642375,5.847737937136177,-522.3298895627005,1.2622728377720716,0.732990801536971,7.110010774908249
28,2210.0,2281.0,-4.2949512664779704e-13,6.419968293919659e-13,4.2949512664779704e-13,-6.419968293919657e-13,0.0,2.0194839173657902e-28
29,1467.0,1609.0,882.5610892502814,-228.90212565107268,-877.7123227623747,273.54421710869633,4.848766487906687,44.64209145762365
30,1467.0,976.0,-882.5610893858333,242.41598267318415,887.1100463368027,-192.79865593020432,4.548956950969455,49.61732674297983
31,1129.0,2694.0,558.4002718599548,-86.0388431967098,-557.272152690203,101.23711534475581,1.1281191697518125,15.198272148046001
32,1129.0,1921.0,-558.4002735028492,99.80092591265937,559.7269574614926,-86.69202489273063,1.3266839586433434,13.108901019928737
33,792.0,2415.0,102.59822839432304,-31.546417100226947,-102.24796954162568,34.10354727295048,0.35025885269736534,2.5571301727235323
34,792.0,1534.0,-102.59822839397343,35.79872891914249,102.94990442556045,-33.12659131857444,0.35167603158701866,2.6721376005680497
35,2163.0,1045.0,3.6080746786660114e-11,1.1363852454838754e-10,-3.6080746786660114e-11,-1.1363852454838749e-10,0.0,5.169878828456423e-26
36,2588.0,1485.0,-321.45172240075084,15.092625508231073,321.9303090827822,-9.792052256299666,0.4785866820313345,5.300573251931407
37,2588.0,1714.0,321.4517223967366,5.4587598240615876,-320.95602535372603,0.5436807331212323,0.4956970430105798,6.00244055718282
38,1056.0,543.0,655.1089008159801,-101.25261179373051,-652.9092904215521,127.73419575801972,2.199610394427964,26.481583964289214
39,1056.0,1921.0,-655.1089019314952,117.96151052558122,656.9789343866776,-100.3049250185136,1.8700324551823542,17.656585507067618
40,307.0,1888.0,-35.23797781659663,-0.9182110021073248,35.264367326035256,1.0903097522636185,0.026389509438622838,0.17209875015629372
41,307.0,988.0,35.2379778165868,2.7921121081082356,-35.21194474197268,-2.631892876654143,0.0260330746141193,0.16021923145409245
