,Complex Voltages,Voltages Magnitude,Voltages Phase Angle
0,(0.9173796442759771-0.26540457469536j),0.9550000000005985,-16.13553927158559
1,(0.9355583660061513-0.26095025764854496j),0.9712695265326415,-15.58509496109696
2,(0.933623700919878-0.25408136628036154j),0.9675797412152783,-15.224081673215114
3,(0.9782830683776021-0.1973986781266922j),0.9980000000002313,-11.40800330429894
4,(0.9837714833846463-0.19033201062932997j),1.002014274245148,-10.949831282289203
5,(0.9616186010370819-0.2353500927131117j),0.9900000000002953,-13.752446409508329
6,(0.9590313048567606-0.2428987320524656j),0.9893133162592912,-14.21271713559277
7,(1.0098197515902045-0.10241615740187192j),1.0149999999993435,-5.791149600134518
8,(1.0413945413689973+0.03380731765489274j),1.0419431488906499,1.8593688662682368
9,(1.0345376463694327+0.1795323320232829j),1.0499999999987255,9.844987742255705
10,(0.9553832506987483-0.23928364069309735j),0.9848927943786829,-14.060953469145023
11,(0.9580771627051409-0.2493755206576141j),0.9900000000001965,-14.589645245286766
12,(0.9324276241784324-0.25925136392644144j),0.9677977805454795,-15.538011690752034
13,(0.9481754010800104-0.2612629927593767j),0.9835115365865439,-15.405165729716295
14,(0.932673597380871-0.2664957049355821j),0.9700000000002515,-15.946391761017102
15,(0.9502471040542576-0.2543854925199574j),0.9837080550489177,-14.98692225796323
16,(0.9682055184127359-0.2295298607910951j),0.9950406438330317,-13.336747619315572
17,(0.9369578263291019-0.2623719338669621j),0.9730000000002287,-15.643592770720327
18,(0.9250515362497782-0.2683650051053115j),0.9631926705925709,-16.17787555942258
19,(0.9233970905966727-0.25292709375528327j),0.9574102055430022,-15.31813876178779
20,(0.9304507902036414-0.22724340737795748j),0.957798642297704,-13.724639512361394
21,(0.95059590914588-0.1873214546240786j),0.9688766226137169,-11.147697892898112
22,(0.9935200042459299-0.10750849792086878j),0.9993198066495199,-6.175928365529299
23,(0.9852290696759377-0.11570514364460294j),0.9920000000001673,-6.698125809866228
24,(1.049711633690632+0.02460662701239869j),1.04999999999923,1.342842814383468
25,(1.013364464255603+0.05759741818921479j),1.0149999999990682,3.2530666659654113
26,(0.9478872985193545-0.19629994729275962j),0.9680000000007541,-11.700111545849719
27,(0.9349729731624344-0.22391468663933167j),0.9614115910664862,-13.467985316119314
28,(0.9324836583711993-0.2409922836852234j),0.9631215156589301,-14.490532138070973
29,(0.9748924987077642-0.13999604699387463j),0.9848930283084448,-8.171894801638206
30,(0.9367241563080821-0.24007676895040847j),0.967000000000391,-14.375143647107649
31,(0.9411278288100029-0.20548053733084778j),0.9632984176164747,-12.31635812537071
32,(0.9298301408009114-0.28066278278084966j),0.9712649939023507,-16.796075793082405
33,(0.9456940207974219-0.27792324399840285j),0.9856868217271602,-16.377157194771357
34,(0.938686559293214-0.2837264924263287j),0.9806289711722166,-16.817916243698644
35,(0.9381031510278393-0.28348276496452957j),0.9800000000001509,-16.814144963179512
36,(0.9538888523667821-0.27181990606678863j),0.9918618875648839,-15.905417729964682
37,(0.9452414730423978-0.1778120747437746j),0.9618204490881069,-10.653573112266253
38,(0.9146600735911183-0.32343121522775803j),0.9701601935790884,-19.474007162081126
39,(0.9077140176729274-0.34198722508395873j),0.9700000000002854,-20.64423039000783
40,(0.9015594386501583-0.3488165287827161j),0.9666862946019313,-21.151629961079763
41,(0.9275332312599055-0.33152240483689355j),0.9850000000001413,-19.66809612681725
42,(0.9369774367025602-0.2800578267763885j),0.9779361447601851,-16.641139850631436
43,(0.953307864435859-0.24519181106695662j),0.9843347543440455,-14.42390203893088
44,(0.9620242728333921-0.21636005314539233j),0.9860539407748918,-12.674974902718416
45,(0.9899112474021036-0.17349559725476255j),1.004999999999988,-9.940909804632424
46,(1.0078845760581703-0.1392608045303115j),1.017460019034845,-7.866826647445022
47,(1.0094543082521428-0.1495157435561451j),1.0204670293644764,-8.425133807105418
48,(1.0164774934837948-0.13190339359095357j),1.024999999999955,-7.393681615037741
49,(0.9873192473918277-0.1644073959624931j),1.0009141262453702,-9.45408899636737
50,(0.9449169539857768-0.20259484130432998j),0.9663915974659989,-12.101286896878404
51,(0.9314576469171514-0.2162033421853877j),0.956220284857296,-13.067689617371446
52,(0.9172207324421513-0.22942757598821958j),0.9454791825553573,-14.043438990485704
53,(0.9301509546557432-0.2164352132928816j),0.9550000000000657,-13.098966050191276
54,(0.9260980095510288-0.22055946297032902j),0.9520000000000722,-13.396006938245296
55,(0.9287667300256258-0.21796412823590164j),0.9540000000000682,-13.207242204713449
56,(0.9492018051887904-0.20182898074428804j),0.9704220754094254,-12.00403736115641
57,(0.9346007337082043-0.21359293905481j),0.9586972801995349,-12.873248711913838
58,(0.973199273679713-0.15201372868786123j),0.9850000000001562,-8.877862737440562
59,(0.9892538896879394-0.08746980434696207j),0.9931133998367022,-5.052950598145929
60,(0.9923974456752583-0.07191877235621223j),0.995000000000001,-4.1449633989902885
61,(0.9945283316560758-0.08317089354685894j),0.9980000000000002,-4.780435361983782
62,(0.9643328821943693-0.09299699598956718j),0.9688066623142013,-5.5083769954509805
63,(0.9817276608606146-0.06430910729589966j),0.9838317241175187,-3.7478659197587096
64,(1.0049217084082547-0.012544320221417129j),1.0049999999999915,-0.7151793729571321
65,(1.0499287014882406-0.01223608561592709j),1.049999999999992,-0.6677066023373435
66,(1.0177750973489088-0.05957449981453872j),1.0195171748488268,-3.349931705060412
67,(1.0029117961464347-0.022387479485909995j),1.0031616370692211,-1.2787715751218283
68,(1.035+1.1480294445890637e-17j),1.035,6.355289075526702e-16
