,From Bus,To Bus,From-To P injection (MW),From-To Q injection (MVAR),To-From P injection (MW),To-From Q injection (MVAR),P flow through branch and elements (MW),Q flow through branch and elements (MVAR)
0,1585.0,962.0,-179.16275312989066,110.86795982207471,179.41587760825843,-108.26921517749923,0.2531244783677664,2.5987446445754756
1,1585.0,2700.0,179.16275312988637,-92.12768653892502,-178.96989282688844,94.98201902329511,0.19286030299792856,2.85433248437009
2,127.0,1675.0,314.45775167715084,55.42193266928494,-314.396320422849,-54.92170674139859,0.06143125430185137,0.5002259278863548
3,127.0,1455.0,-314.4577516771716,-53.98134393624534,314.5103256419639,54.47203427430735,0.05257396479231602,0.49069033806200935
4,1831.0,2297.0,10.291557872941018,0.9896410774349097,-10.288111399036188,-0.9725990924053471,0.0034464739048303272,0.017041985029562556
5,1831.0,988.0,-10.29155787294012,1.8980091475088052,10.295152179391193,-1.8809169498325382,0.0035943064510739475,0.017092197676267018
6,1389.0,2297.0,10.033698205112549,1.168462328768243,-10.03028073242145,-1.152882818310975,0.003417472691099377,0.01557951045726802
7,1389.0,988.0,-10.033698205112147,1.6362305318645458,10.036781537802511,-1.6183523759713134,0.0030833326903643155,0.017878155893232384
8,1600.0,2417.0,89.2852058782443,34.43871106272942,-89.08094793226859,-33.21143238733306,0.20425794597571212,1.2272786753963558
9,1600.0,2396.0,-89.2852058782456,-31.433700588462344,89.46887506438486,32.78086199108541,0.1836691861392552,1.3471614026230654
10,1773.0,2019.0,-11.214097553850305,28.706608335513938,11.215326070576012,-28.696078192150743,0.0012285167257068963,0.010530143363194355
11,1773.0,2419.0,11.214097553845424,-28.316941703883273,-11.212289318726002,28.330130679469946,0.0018082351194212976,0.013188975586672314
12,1604.0,2019.0,-5.194278186071696,12.28718047311528,5.194937150726562,-12.279126643256163,0.0006589646548667005,0.008053829859116846
13,1604.0,2419.0,5.194278186061367,-11.334217725647653,-5.1939638257800365,11.336385232610258,0.00031436028133047245,0.002167506962605259
14,921.0,1867.0,-238.62121419377561,162.8552599747439,239.06549289158602,-159.37792478226615,0.44427869781040386,3.4773351924777387
15,921.0,1070.0,238.62121419374796,-151.57242576775226,-238.34307185116802,155.67911564937287,0.2781423425799403,4.1066898816206105
16,2335.0,1867.0,300.6326420717287,134.7248938885678,-299.9189228767295,-127.06064776380614,0.7137191949992143,7.664246124761661
17,2335.0,2721.0,-300.6326420717338,-114.42286912203303,301.25028627407875,122.86051703881395,0.617644202344934,8.437647916780918
18,2334.0,2182.0,200.21155347020633,-9.940726102167602,-198.84230722487172,17.610701727771676,1.3692462453346081,7.669975625604074
19,2334.0,1345.0,-200.21155347020522,13.343235454682379,202.08605693968371,-6.204348562408368,1.8745034694784977,7.1388868922740105
20,35.0,917.0,-242.69887928085723,36.31956650655489,243.0370036985801,-32.54208277730742,0.3381244177228666,3.7774837292474714
21,35.0,1364.0,242.6988792808567,-11.937620417561245,-242.2378617813928,15.625760413272493,0.46101749946387827,3.688139995711248
22,1559.0,208.0,-1.3630642342598083,-11.689660382908244,1.3636563323620157,11.696506517215015,0.0005920981022073946,0.00684613430677139
23,1559.0,2427.0,1.3630642342580706,25.174925497169205,-1.3604035762538194,-25.14288438162866,0.002660658004251193,0.032041115540543785
24,2125.0,208.0,-1.7208670257904388,-13.045179444426733,1.7215763780657225,13.05325989208432,0.0007093522752836812,0.008080447657587086
25,2125.0,2427.0,1.7208670257918814,26.967453328626206,-1.7174851347455729,-26.93402463636076,0.003381891046308594,0.03342869226544565
26,2004.0,1530.0,-521.2263622064031,3.362379193647569,521.9298857879492,3.8669320925849293,0.703523581546051,7.229311286232498
27,2004.0,1869.0,521.2263622064077,5.821031554432721,-520.4985187081671,1.2390503785013385,0.7278434982405315,7.060081932934059
28,2210.0,2281.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1467.0,1609.0,638.5750653408099,-134.3426676537373,-636.1122998330645,157.01709491470405,2.4627655077454165,22.674427260966752
30,1467.0,976.0,-638.5750653408144,147.9714366544347,640.8887028543326,-122.73564970142887,2.313637513518188,25.235786953005842
31,1129.0,2694.0,419.5018600415769,-49.34148897634676,-418.8932656740519,57.54060753883689,0.6085943675249723,8.199118562490128
32,1129.0,1921.0,-419.50186004158735,63.599688129123045,420.2182953119712,-56.520625338425035,0.7164352703838404,7.079062790698011
33,792.0,2415.0,85.04045070824347,-30.175535242523583,-84.79308743026547,31.98145705397839,0.24736327797799618,1.8059218114548052
34,792.0,1534.0,-85.04045070824682,34.430753639763125,85.29097354842143,-32.52720764599516,0.2505228401746109,1.9035459937679633
35,2163.0,1045.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2588.0,1485.0,-324.3900772692806,15.522248988614418,324.8775874462912,-10.122843820591477,0.4875101770106198,5.399405168022941
37,2588.0,1714.0,324.39007726927827,5.025231100815497,-323.88520506789746,1.0883122831774061,0.504872201380806,6.113543383992903
38,1056.0,543.0,482.97754076069,-52.93206198644784,-481.8364576355587,66.66980784587014,1.1410831251312743,13.737745859422297
39,1056.0,1921.0,-482.97754076069583,70.23563940663699,483.94831624073606,-61.069712781140176,0.9707754800402313,9.165926625496816
40,307.0,1888.0,-29.78833502337871,-1.764891970024729,29.80724657652595,1.8882233516756448,0.018911553147241023,0.12333138165091584
41,307.0,988.0,29.788335023378565,3.6388003021607447,-29.769571741806892,-3.5233226416257537,0.018763281571672508,0.11547766053499098
42,1865.0,1627.0,4.468647674116255e-12,93.44991215430888,0.024874310712941217,-93.37378168817376,0.024874310717409864,0.07613046613511187
