,From Bus,To Bus,From-To P injection (MW),From-To Q injection (MVAR),To-From P injection (MW),To-From Q injection (MVAR),P flow through branch and elements (MW),Q flow through branch and elements (MVAR)
0,0.0,1.0,-12.600499993828873,-12.843874478915259,12.698615452400183,10.811023037093452,0.09811545857131065,-2.0328514418218067
1,0.0,2.0,-39.419500006171305,-16.55378692971848,39.675771967221266,16.396214940010452,0.2562719610499613,-0.15757198970802833
2,3.0,4.0,-105.27893002326192,-26.53630712777524,105.48713028289127,27.270304843905578,0.20820025962935063,0.7339977161303395
3,2.0,4.0,-69.4728976950654,-14.194053327898141,70.75794558514016,17.197673187476482,1.2850478900747646,3.0036198595783414
4,4.0,5.0,90.25044190897711,3.8346473376149435,-89.28258434796022,-0.8573571746450459,0.9678575610168849,2.9772901629698976
5,5.0,6.0,36.242584347960594,-4.84562386150537,-36.18008871482488,4.59014792399912,0.06249563313571116,-0.2554759375062501
6,7.0,8.0,-449.2644136504082,-86.68171624948974,454.06183007522714,23.643299781498264,4.797416424818948,-63.038416467991475
7,7.0,4.0,345.24322427788684,125.26159521321345,-345.24322427788684,-91.34517673142264,0.0,33.916418481790814
8,8.0,9.0,-454.0618300752275,-23.643299781498254,459.00000000000006,-49.37460424533236,4.9381699247725805,-73.0179040268306
9,3.0,10.0,65.49893002326395,-0.28628850096727165,-64.59862812736834,1.5316316397141205,0.900301895895609,1.2453431387468488
10,4.0,10.0,78.7477065008756,2.882258668155452,-77.4910366060133,-0.37579776784067154,1.2566698948622985,2.5064609003147806
11,10.0,11.0,34.940354126539596,-36.213902997512925,-34.786109688842814,36.23251498991078,0.1542444376967822,0.018611992397858046
12,1.0,11.0,-33.098615452400544,-19.99102303709364,33.3892291498232,19.43649790324343,0.29061369742265697,-0.5545251338502091
13,2.0,11.0,-9.982874272155795,-12.402161612112247,10.091410694047909,8.870861287294366,0.10853642189211321,-3.531300324817881
14,6.0,11.0,16.80008871482451,-6.630147923999945,-16.77184267705725,5.885546845684016,0.028246037767260646,-0.7446010783159291
15,10.0,12.0,35.749310606841895,11.598069125638382,-35.42028802523389,-12.30564683468611,0.3290225816080081,-0.7075777090477278
16,11.0,13.0,18.638382046808495,2.609916652971478,-18.55948987584018,-4.118762715500765,0.07889217096831658,-1.5088460625292868
17,12.0,14.0,0.7402880252339122,-4.01435316531378,-0.7389285789932687,-1.8656328841912797,0.001359446240643547,-5.87998604950506
18,13.0,14.0,4.2794898758401745,3.098762715500268,-4.249436966346587,-7.789945077775778,0.03005290949358752,-4.69118236227551
19,11.0,15.0,7.639932951829411,4.509149153492242,-7.620625974793767,-6.517296868729734,0.01930697703564377,-2.0081477152374925
20,14.0,16.0,-105.77888455731872,-23.572548242833975,107.41337872294177,24.696710592952254,1.6344941656230532,1.1241623501182794
21,15.0,16.0,-17.87937402520618,-3.682703131270594,18.03031270769983,-0.2802973674977796,0.15093868249365272,-3.963000498768374
22,16.0,17.0,81.89909943338625,24.414792603308424,-80.9879077006234,-21.930776649604024,0.9111917327628589,2.4840159537044
23,17.0,18.0,19.7879077006234,14.451260439758723,-19.71506126635613,-15.200609819843722,0.07284643426726944,-0.7493493800849986
24,18.0,19.0,-10.822536528724127,5.865512518465864,10.868622928078398,-8.399288471084255,0.04608639935427128,-2.5337759526183907
25,14.0,18.0,11.628759303262648,12.824954217455684,-11.588952190732597,-13.637889564785644,0.03980711253005076,-0.8129353473299599
26,19.0,20.0,-29.22862292807853,5.339288471083741,29.40721538744102,-6.490992556831852,0.17859245936249124,-1.1517040857481113
27,20.0,21.0,-43.68721538744092,-1.6690074431678081,44.12221743344,1.4055070909579914,0.4350020459990773,-0.2635003522098167
28,21.0,22.0,-54.32221743344001,-6.505507090958049,55.40531672048783,7.627886205424204,1.0830992870478227,1.1223791144661552
29,22.0,23.0,8.198013199958686,10.178684389189579,-8.167243942655327,-15.00358232092616,0.030769257303358444,-4.824897931736581
30,22.0,24.0,-165.65985324457188,-25.304655288393306,170.01546875397955,38.56404362766226,4.35561550940767,13.259388339268952
31,25.0,24.0,92.06885843545085,21.640483368805487,-92.06885843545084,-18.583779465690917,1.4210854715202004e-14,3.0567039031145704
32,24.0,26.0,146.4533896814714,30.142043779267922,-139.80844414967416,-14.070075595024035,6.644945531797248,16.071968184243886
33,26.0,27.0,33.51411849012367,-0.5394172795217894,-33.28476455408562,-0.4457484485846569,0.2293539360380521,-0.9851657281064463
34,27.0,28.0,15.944764554085648,-6.69425155141588,-15.871552330094893,4.781779933628266,0.07321222399075467,-1.912471617787614
35,29.0,16.0,235.77024046989004,92.82290534522369,-235.77024046988998,-69.16648269624812,5.684341886080802e-14,23.656422648975564
36,7.0,29.0,75.46118937252166,28.491644663112538,-75.09655435335635,-75.64573584552392,0.3646350191653056,-47.15409118241138
37,25.0,29.0,228.21114156454914,-10.76637378101294,-224.07146141282217,-35.50823042437295,4.139680151726964,-46.274604205385884
38,16.0,30.0,15.089859628679072,11.423758708346812,-14.894913239366984,-14.621846511767544,0.1949463893120882,-3.198087803420732
39,28.0,30.0,-8.60844766990541,-8.861779933627236,8.625441968193437,8.140848856812518,0.016994298288027565,-0.7209310768147184
40,22.0,31.0,94.91652332412544,4.438084693779329,-92.02320715907842,-5.213336436095798,2.893316165047011,-0.7752517423164687
41,30.0,31.0,-30.45052872882635,12.370485148587445,30.804485643958774,-13.538469752409524,0.3539569151324251,-1.1679846038220791
42,26.0,31.0,12.740597879405394,1.4065854785304341,-12.699624783384541,-3.0673381929049897,0.04097309602085275,-1.6607527143745555
